review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
"Great location and rooms, excellent service!",12-2021,Netherlands,Standard Queen Room,Couple,1,12-2021,9.0,"We received a warm welcome at the Student Hotel Groningen. We were surprised with some candy in our room. The bed was very comfortable and the room had a nice size. A modern bathroom and nicely decorated. A big plus for us was the ping pong table downstairs, some extra entertainment when we came back from our Christmas dinner.",N/A,True
"friendy staff, nice rooms, perfect situation, public parking at 1 minute, I can only recommend",12-2021,France,Standard Queen Room,Couple,4,12-2021,8.0,matelas très confortable,N/A,True
Superb,11-2021,Netherlands,Standard Queen Room,Family,1,11-2021,9.0,"Nice atmosphere, friendly staff, good communication",N/A,True
we enjoyed our visit to the Student Hotel and Groningen the city,10-2021,Netherlands,Deluxe King Room,Couple,2,10-2021,9.0,atmosphere and location,water problem at the shower,True
Superb,10-2021,Netherlands,Standard Queen Room,Group,1,10-2021,9.0,"Clean, friendly staff and location close to center.",Quite expensive for a 'student' hotel,True
Very good,09-2021,Luxembourg,Deluxe King Room,Solo traveller,2,09-2021,8.0,Very close to centre of town and university,"Nothing, Everything was perfect",True
Excellent,08-2021,India,Standard Queen Room,Solo traveller,6,08-2021,9.0,Good quality,Breakfast in room attracted some expenses which should have been told earlier,True
My opinion,09-2021,Romania,Standard Queen Room,Family,3,09-2021,7.0,"The personal was 10/10, they were all helping and smiling.","The hotel room was not what i expected, the shower had no door so there was water in all the bathroom.",True
Superb,08-2021,Italy,Standard Queen Room,Group,4,08-2021,9.0,"quiet environment, boiler in the room, room furniture",pillow,True
Good,08-2021,Taiwan,Standard Queen Room,Solo traveller,5,08-2021,7.0,"Its an amazing experience staying in this hotel, the staff there l are all super friendly and professional, the whole enviroment is well designed, especially in the ground floor where ppl can chill together. Also, the location is not too far away from the center of the city, with the bike it provides it is really easy to go around the city.",N/A,True
Good choice in Groningen,08-2021,Lithuania,Standard Queen Room,Family,1,08-2021,9.0,"Very good location, very clean and comfortable rooms",Lack of elevators. Only one per building. And due to corona virus only two persons can use at the time.,True
Superb,08-2021,Hungary,Standard Queen Room,Family,1,08-2021,9.0,great atmosphere,-,True
Very good,08-2021,Belgium,Standard Queen Room,Couple,1,08-2021,8.0,"A Nice hotel in a Nice place, walking distance to the centre of Groningen. The room was nice with lots of attention  for detail. Breakfast was good. Good coffee! Staff friendly.",Insect screens would be Nice.,True
Good,08-2021,Netherlands,Standard Queen Room,Couple,2,08-2021,7.0,"Window can open, big nice bed","Pillows need to be replaced no explanations about temp setting and airco.
Doubay to old clogged up and synthetic 😕",True
Good location,08-2021,Germany,Standard Queen Room,Group,3,08-2021,7.0,"The location was really good, also the overall look of the hotel was great!",The mattress was really dirty when we arrived. It had a big stain right on it. It was not possible to open the room window fully so it stayed really warm in there.,True
Superb,08-2021,Hungary,Standard Queen Room,Group,1,08-2021,9.0,"Nice clean rooms, Good restaurant on site. in the middle of the city. Huge window is a plus.","The shower is a bit small, and awkward but clean.",True
Good,08-2021,Israel,Deluxe Studio,Couple,1,08-2021,7.0,The hotel is really nice. It’s public areas are great.,"The room was not clean enough. The kitchen didn’t have any equipment in it, and the coffee machine didn’t work. We wanted to rent bikes. They told us the price, but when we came to rent them they said there were no bikes available… it was a bad experience in a place that had the potential to be great.",True
Very good,08-2021,Germany,Standard Queen Room,Group,1,08-2021,8.0,"Friendly staff, nice activities to do, looked like a fun place to be.",N/A,True
"Great location , ambiance",08-2021,United Arab Emirates,Standard Queen Room,Family,2,08-2021,9.0,"Great location , good internet , very young dynamic ambience ,",Nothing to mention,True
Superb,08-2021,Switzerland,Standard Queen Room,Couple,1,08-2021,9.0,Absolut top,N/A,True
Very good,08-2021,Netherlands,Standard Queen Room,Couple,1,08-2021,8.0,I recommend you to have dinner in their restaurant. I ordered people's dish and it was very nice.,"I did not like the bed, the soft pillow and the shower.",True
"Weve had a good stay, good breakfast,at a vey good location. Communication upfront was good. We will",08-2021,Netherlands,Deluxe King Room,Couple,1,08-2021,8.0,"Breakfast was ok. Drink ar the bar ok, good wine.","Personal was working in the middle yard at 7 in the morning. Perseption, construction workers are bussy. No, own personel, or hored personel where making noice at the yard.",True
Great hotel in a lively city,08-2021,Netherlands,Standard Queen Room,Couple,2,08-2021,9.0,"Location, decor, breakfast, comfortable bed",N/A,False
"Quirky, interesting hotel with numerous instagrammable corners, good location",07-2021,Germany,Standard Queen Room,Couple,1,07-2021,7.0,"The entire hotel is very instagrammable. With quirky little corners, games, and everything. I really liked the overall atmosphere there. The location of the hotel was also quite good.","In the room the way the shower is designed is horrible, it leaks tremendous amounts of water every time one showers, the entire bathroom floor is covered with water. Additionally, breakfast was a bit disappointing. Overcooked scrambled eggs and moist bacon with no sprinkles to top the bread with! it was part of my dutch experience.",True
Very good,07-2021,Netherlands,Deluxe King Room,Couple,1,07-2021,8.0,"The room was nice and clean.
Funny decorations.
The bed was nice.
Location was good.",The shower didn't seem to have any planning for the water (except for a soon to be drenched towel on the floor).,True
"Nice hotel, would recommend it!",07-2021,Netherlands,Standard Queen Room,Couple,1,07-2021,9.0,"Easy to reach, quiet, clean, friendly staff!",Nothing,True
Good,06-2021,Portugal,Standard Queen Room,Solo traveller,3,06-2021,7.0,"I really enjoyed the room, it was clean and comfortable to spend some days in Groningen. No bothering noises and the staff was nice. The internet connection was good.",I don't have any negative comments :),True
Decent hotel in a nice area,04-2021,Netherlands,Standard Queen Room,Solo traveller,1,04-2021,7.0,This hotel is located in a nice part of Groningen. The Lounge area in the hotel was really nice. Room was comfortable and clean.,I did not like the interior of the room and bathroom. They could have been better,True
#good vibes #top location #clean,06-2021,Belgium,Standard Queen Room,Couple,1,06-2021,9.0,"Top location, good vibes , clean, comfortable",N/A,False
Excelent!,05-2021,Romania,Standard Queen Room,Couple,1,05-2021,9.0,Staff very friendly. Bed was conforfable. Coffee and tea are a nice +.,Price could be a bit better. Maybe offer some discounts in certain days. Rooms could be a bit bigger.,False
Very good,04-2021,Netherlands,Standard Queen Room,Couple,1,04-2021,8.0,"Friendly staff, nice stylish room, great location","Bed was not the comfiest, the coffee in the room could be a bit better and I think the price is a bit high for such a room.",True
Excellent,12-2023,Ireland,Deluxe King Room,Family,2,12-2023,10,"Staff were very helpful and friendly,it felt very friendly when you walked in,
very clean,
facilities were excellent and 5 minutes walk from the city centre very good value for money
Definitely stay again",Can't really find a fault,True
Good location,09-2023,India,Deluxe King Room,Family,8,09-2023,5.0,"Some of the staff were really great and helpful, Melania was a star.",Housekeeping was hit and miss. Pricing was high for what was offered,True
Wonderful short stay in Groningen,10-2023,Austria,Standard Queen Room,Couple,1,10-2023,10,Super nice staff and very helpful! Room was spacious. Also it’s very well located. We loved it,N/A,True
Exceptional,09-2023,Germany,Standard Queen Room,Solo traveller,1,09-2023,10,"The whole concept of the social hub is special and everyone is very friendly. There many open spaces to work, socialize, eat, do fitness, etc. The hotel room had everything needed, was clean and comfortable. I can't wait to visit more Social Hubs in other cities!",N/A,True
Exceptional,09-2023,Netherlands,Deluxe King Room,Couple,1,09-2023,10,It’s amazing I like it so much,N/A,True
Perfektes Hotel um Groningen zu erkunden,07-2023,Germany,Standard Queen Room,Family,1,07-2023,10,"Friendly, relaxed, nice rooms, Good breakfast
Wonderful Hotel",N/A,True
N/A,08-2023,Netherlands,Standard Queen Room,Couple,2,08-2023,5.0,N/A,N/A,False
Exceptional,09-2023,Bulgaria,Deluxe King Room,Solo traveller,5,09-2023,10,All,Price,True
